load a voice G7S


< 0x6b (k)
> 	0x06 ([ACK])
< 0xf3 (?)
< 0x0b ([VT])
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0x00 ([NUL])
< 0xaa (?)
< 0xaa (?)
< 0xaa (?)
< 0xaa (?)
< 0xaa (?)
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x8e (?)
< 0x02 ([STX])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x02 ([STX])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0xed (?)
< 0xf6 (?)
< 0xfb (?)
< 0xfd (?)
< 0xff (?)
< 0xff (?)
< 0xff (?)
< 0x00 ([NUL])
< 0x01 ([SOH])
< 0x01 ([SOH])
< 0x02 ([STX])
< 0x02 ([STX])
< 0x03 ([ETX])
< 0x03 ([ETX])
< 0x03 ([ETX])
< 0x02 ([STX])
< 0x01 ([SOH])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0xfe (?)
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0xc0 (?)
< 0xe8 (?)
< 0xf5 (?)
< 0xf8 (?)
< 0xfc (?)
< 0xfc (?)
< 0xfe (?)
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x01 ([SOH])
< 0x01 ([SOH])
< 0x01 ([SOH])
< 0x02 ([STX])
< 0x02 ([STX])
< 0x02 ([STX])
< 0x02 ([STX])
< 0x02 ([STX])
< 0x03 ([ETX])
< 0x03 ([ETX])
< 0x03 ([ETX])
< 0x00 ([NUL])
< 0x01 ([SOH])
< 0x02 ([STX])
< 0xed (?)
< 0xed (?)
< 0xed (?)
< 0xed (?)
< 0xed (?)
< 0xed (?)
< 0xed (?)
< 0xed (?)
< 0xed (?)
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
< 0x00 ([NUL])
